AssociationType	AssociationName	#of proteins	weighted_Sig	min_Sig	mean_Sig	median_Sig	std_Significance
Chemical	Antigens, Viral	14	0.0019894760754407734	2.8600000000000004e-05	0.03043792142857143	0.0007635	0.0634997467242663
Chemical	Nucleocapsid Protein	14	0.0020452504094034497	2.3100000000000002e-05	0.07468643571428571	0.0030499999999999998	0.25666125613522367
Chemical	Recombinant Proteins	19	0.002151482663051071	3.41e-05	0.020979194736842108	0.00381	0.03903307439025571
Chemical	Recombinant Fusion Proteins	20	0.002638890279001544	1.47e-05	0.058109504999999985	0.003725	0.2163138878100467
Anatomy	protein location	24	0.00022207185824105972	1.34e-06	0.007190080833333334	0.000669	0.01129152771874925
Anatomy	Cell Line	23	0.000437841611939197	1.13e-05	0.06513306521739129	0.000552	0.215406304801965
Anatomy	Virion	18	0.0006918587596742356	4.91e-06	0.011724228333333331	0.0007835	0.02635473068943711
Anatomy	Cells	24	0.0006951752252152787	4.29e-06	0.10565383791666666	0.0023350000000000003	0.27288728799047496
Anatomy	Vero Cells	20	0.0007403344615757808	2.9100000000000003e-05	0.05924843000000002	0.0009175000000000001	0.21875417883127193
Anatomy	Capsid	14	0.0018146178107848183	7.499999999999999e-06	0.04866415	0.0005295	0.11727059015916229
Anatomy	Host Cell	17	0.0018602720753564837	7.75e-05	0.05358485294117647	0.000987	0.1630270563937313
Anatomy	envelope	15	0.001884971819703182	1.33e-07	0.030589955533333338	0.00155	0.08186198849741681
Anatomy	viral genome location	15	0.0023663581376978785	9.39e-05	0.052142193333333337	0.000889	0.1796791374701117
Anatomy	Clone Cells	17	0.002837735362179092	8.13e-05	0.0570172294117647	0.0021899999999999997	0.15541049767028864
Anatomy	HEK293 Cells	19	0.003415937622833363	4.03e-05	0.0065293315789473685	0.00432	0.005822309021979494
Anatomy	viral nucleocapsid location	18	0.003429933914680271	3e-06	0.044177333333333325	0.0048965	0.09033903646633976
Anatomy	Clone	16	0.0039056896030638696	0.000173	0.013019874999999998	0.002045	0.025490527556513518
Anatomy	HeLa Cells	16	0.005938199191612061	4.51e-05	0.03563015000000001	0.00306	0.06502046140338247
Anatomy	Cytoplasm	22	0.00599396037579604	3.8299999999999996e-05	0.07680551363636366	0.01089	0.14685474099213666
Anatomy	COS Cells	19	0.006033175213808939	3.01e-05	0.010787347368421053	0.00658	0.00998451848341476
Anatomy	Membrane	18	0.006491186090399293	7.340000000000001e-07	0.12914111855555555	0.01325	0.3089402628644553
Anatomy	Fragments	16	0.006943765101732553	0.00015	0.1121894375	0.00482	0.2675554485323951
Anatomy	Tail	20	0.00951560460595001	0.000124	0.13152299999999997	0.0179	0.29388220089603934
Anatomy	Endoplasmic Reticulum	19	0.010271910241025809	6.7e-06	0.11396245263157895	0.00889	0.25115930607252435
Biomedical expert	Wang Y	16	0.09817993702581977	1.338e-12	0.4508786437500836	0.46695	0.3555898436635119
Biomedical expert	Zhang Y	14	0.1301455546529391	6.743000000000001e-11	0.38792521429053073	0.42745	0.3232606140756625
Biomedical expert	Li Y	13	0.15384892306083678	1.275e-09	0.32867076932884615	0.3135	0.2779325531704794
Biomedical expert	Wang J	14	0.18169734517473618	5.949e-09	0.4429524289963571	0.4632	0.34181950534949
Biomedical expert	Wang X	14	0.18818143180960006	4.496e-09	0.4185297146068571	0.44265	0.31685937240488404
Biomedical expert	Liu Y	12	0.19134189408507563	1.585e-08	0.34819600132083334	0.32084999999999997	0.27298535873958923
Biomedical expert	Li J	14	0.2135826619311709	5.7010000000000006e-08	0.45547928978642854	0.5549999999999999	0.33666496520588457
Biomedical expert	Zhang X	12	0.2420313484249595	8.505000000000001e-08	0.37048334042083336	0.46955	0.283004513133545
Biomedical expert	Li X	12	0.24892640259328497	1.747e-07	0.44622251455833334	0.5627	0.3284735510553433
Biomedical expert	Wang H	13	0.25202115484490145	9.008e-07	0.43039699236923074	0.4317	0.29427963337805285
Biomedical expert	Zhang J	11	0.26023353541597427	1.431e-07	0.36085819482727266	0.3535	0.32827036369515505
Biomedical expert	Zhang L	10	0.26998540200022075	2.881e-07	0.31646002881	0.31375	0.24775938921781002
Biomedical expert	Wang L	11	0.2909185228752802	5.249e-07	0.37969732044545457	0.3906	0.3022051730819245
Biomedical expert	Liu J	12	0.29686826295828445	1.291e-06	0.44091927424999994	0.44475000000000003	0.30603736782184865
Biomedical expert	Liu X	14	0.34105740886222347	5.03e-06	0.5082603592857143	0.5488999999999999	0.31889150903984054
Biomedical expert	Zhang H	7	0.34734312063421546	3.051e-06	0.27918472157142854	0.2019	0.24794146521101534
Biomedical expert	Chen Y	14	0.3586855219005947	1.2159999999999999e-06	0.5392800868571428	0.6092	0.32036443547850013
Biomedical expert	Li H	10	0.3658606971838796	1.9600000000000002e-05	0.41296396	0.37955	0.3267632595619257
Biomedical expert	Wang Z	8	0.3934181698790341	4.108e-05	0.322716385	0.29815	0.2575386826788892
Biomedical expert	Chen X	9	0.400208205782673	1.314e-05	0.3604925711111111	0.4493	0.24961778963847112
Food	Protein	24	0.0002225748089441785	1.33e-06	0.00724824625	0.0006715	0.011388041368971888
Food	Serine	16	0.011339331213536745	0.0001	0.035762125	0.0066	0.08357559467248424
Food	Chicken	16	0.01736401972025014	0.000798	0.22947800000000002	0.0166	0.3870010740424373
Food	Alanine	16	0.029471800521718657	0.0006230000000000001	0.0974601875	0.009335	0.19120901923164435
Food	Tyrosine	15	0.04235616664821612	5.8599999999999995e-05	0.2899363733333333	0.0181	0.4314788383360702
Food	Calcium	15	0.04257312972021607	0.000103	0.19920826666666663	0.0254	0.34429223693106353
Food	Threonine	15	0.048303059274549094	0.000466	0.13316706666666667	0.039	0.24958011553900328
Food	Water	15	0.050781115319493496	0.0011	0.06726066666666666	0.0124	0.10029767816964769
Food	Arginine	14	0.05621461753057924	0.0008609999999999999	0.1559522142857143	0.02365	0.267635992915265
Food	Histidine	16	0.07726404192262154	0.000295	0.15955468750000001	0.030100000000000002	0.27770130234361495
Food	Sodium	15	0.08399322603191081	0.00014099999999999998	0.23945873333333337	0.0311	0.3332646324006328
Food	Leucine	16	0.08795321097160726	0.00041799999999999997	0.285759875	0.06490000000000001	0.3706450278031993
Food	Poultry	12	0.1003650539293163	0.00141	0.20569250000000003	0.1031	0.2736214147663702
Food	Aspartic acid	14	0.11046050929439588	0.000642	0.15003871428571428	0.09565000000000001	0.24472767097631154
Food	Isoleucine	13	0.11907124547668678	0.00454	0.40849923076923084	0.0688	0.4384157051942217
Food	Alcohol	12	0.12896169143984523	0.0016300000000000002	0.12879749999999998	0.0174	0.2792801592823056
Food	Choline	11	0.12946021858252565	0.0021100000000000003	0.2620281818181818	0.0998	0.3529016529706563
Food	Wheatgerm	10	0.13103840455859206	0.000245	0.09846210000000002	0.0551	0.11086630238124656
Food	Glucose	15	0.1310514669700923	0.00305	0.173002	0.0238	0.2727003510375445
Food	Salmon	13	0.13328609889234838	0.00759	0.38864538461538467	0.21899999999999997	0.4162112641549571
Cellular component	virion	18	0.0006918587596742356	4.91e-06	0.011724228333333331	0.0007835	0.02635473068943711
Cellular component	viral nucleocapsid	16	0.00083208493421608	7.89e-08	0.12926234868125	0.0010934999999999999	0.3293460211581324
Cellular component	host cell	17	0.0018496126508254025	7.840000000000001e-05	0.049111729411764705	0.000967	0.14419317420589467
Cellular component	cell	23	0.002501805126079745	9.71e-06	0.18501685695652173	0.0092	0.3314726174719541
Cellular component	viral genome	13	0.003380353077293482	0.00011	0.06595092307692309	0.00107	0.21831030844488716
Cellular component	cytoplasm	22	0.005970290877951285	3.8299999999999996e-05	0.07578733181818181	0.01106	0.1451247276159479
Cellular component	membrane	20	0.008789850910554252	6.76e-07	0.1725040038	0.017750000000000002	0.3493648610430798
Cellular component	endoplasmic reticulum	19	0.01027166095578131	6.75e-06	0.11139300789473687	0.00899	0.24528663636566114
Cellular component	viral membrane	11	0.012067576482205342	2.99e-05	0.09832789999999997	0.000923	0.2852947043128466
Cellular component	endoplasmic reticulum-Golgi intermediate compartment	9	0.01552175032617667	0.00011599999999999999	0.006530777777777778	0.00195	0.011732473697465868
Cellular component	viral envelope	11	0.016779955134721802	8.51e-07	0.10506107736363636	0.0007	0.2843976014067176
Cellular component	viral replication complex	11	0.016909489835852436	4.11e-05	0.09661139999999997	0.000518	0.2861040840295618
Cellular component	viral outer capsid	12	0.020145434199056254	2.7399999999999995e-05	0.15912903333333334	0.024560000000000002	0.25959260616533786
Cellular component	plasma membrane	15	0.02181582300107149	2.91e-06	0.16746112733333338	0.0109	0.3303695553695593
Cellular component	cell surface	15	0.02268981358948056	4.91e-06	0.24061222466666668	0.0537	0.3842342453990255
Cellular component	Golgi apparatus	17	0.0262048905476099	1.4300000000000002e-05	0.18146278235294117	0.00602	0.33236475261568776
Cellular component	host cell membrane	10	0.03840723563632691	0.000182	0.0934208	0.010814999999999998	0.19278447547134078
Cellular component	chromosome	16	0.042037602626510066	0.00018600000000000002	0.22583106249999993	0.02715	0.35928883580962206
Cellular component	ribonucleoprotein complex	12	0.04266346951695213	5.8899999999999995e-05	0.17414010833333335	0.03005	0.29411582509101597
Cellular component	cytoplasmic stress granule	9	0.0457270213911846	0.00020800000000000001	0.07456788888888889	0.034	0.11149417931637554
Drug	INALIMAREV	15	0.005283516710511226	4.02e-05	0.13360708000000002	0.00446	0.32773392148328134
Drug	L-Serine	15	0.015332545362050582	0.000129	0.027281666666666666	0.00599	0.04761045379279172
Drug	Recombinant Interferon Beta	15	0.02243390660512359	0.000723	0.1457623333333333	0.0141	0.33533006445106517
Drug	L-Alanine	16	0.029476706300526265	0.0006230000000000001	0.09746081250000001	0.009335	0.1912087189203263
Drug	Recombinant Interferon Gamma	16	0.03155667115707686	4.11e-05	0.25822144374999995	0.03765	0.3796103155697843
Drug	L-Asparagine	14	0.03748700852627149	0.000592	0.15017157142857143	0.048600000000000004	0.25639089791196185
Drug	Recombinant Interferon	13	0.04053697516240712	0.0012	0.1408346153846154	0.0255	0.28186105678604195
Drug	TYROSINE	15	0.042035402928727664	5.8099999999999996e-05	0.29049167333333337	0.0174	0.4315027240218853
Drug	CALCIUM	15	0.042596363474072106	0.000102	0.19955586666666666	0.0256	0.344784099428781
Drug	L-Threonine	15	0.048303059274549094	0.000466	0.13316706666666667	0.039	0.24958011553900328
Drug	Therapeutic Immune Globulin	15	0.05391756134933979	0.000166	0.1979496	0.0407	0.324486534518522
Drug	Binetrakin	13	0.055226660243012496	9.81e-05	0.28482370000000007	0.0678	0.35644111066762807
Drug	Arginine	14	0.05623142795860763	0.0008609999999999999	0.15602435714285715	0.02365	0.26771925169785266
Drug	Rotavirus vaccine	6	0.05967655915708199	6.54e-05	0.11060239999999999	0.0244885	0.15822048670320793
Drug	Adenovirus Vector	12	0.06325753240865264	0.000692	0.2709093333333333	0.056650000000000006	0.3939916027889709
Drug	Adenine	14	0.07120076279513997	0.00021899999999999998	0.38968349999999996	0.21600000000000003	0.41683527486881944
Drug	Histidine	16	0.07726404192262154	0.000295	0.15955468750000001	0.030100000000000002	0.27770130234361495
Drug	Recombinant Tumor Necrosis Factor-Alpha	13	0.07799082433530866	6.77e-05	0.29290443846153846	0.0896	0.39657716928634273
Drug	Recombinant Interleukin-6	14	0.08721296323896256	0.000109	0.5053163571428572	0.4745	0.45666576603332226
Drug	L-Leucine	16	0.08796405985621435	0.00041799999999999997	0.28576675	0.06490000000000001	0.37064045495053216
Molecular function	protein binding	22	0.0015105236829820539	1.09e-05	0.03339676363636363	0.005445	0.06387412233150123
Molecular function	peptidase activity	16	0.014388761680445533	0.000281	0.24620106249999998	0.006705000000000001	0.3899962289231892
Molecular function	RNA binding	14	0.030884606805501	3.8299999999999996e-05	0.24484580714285717	0.003835	0.4060884694461619
Molecular function	RNA helicase activity	7	0.0352008946745589	2.48e-06	0.14684092571428572	0.000621	0.34839065020252186
Molecular function	RNA-directed RNA polymerase activity	7	0.04888443523705582	0.0009220000000000001	0.013266	0.00262	0.02701876382918254
Molecular function	RNA polymerase activity	10	0.05679948440450617	0.00307	0.20311399999999996	0.006840000000000001	0.3548162125157192
Molecular function	receptor binding	10	0.06889431768337041	8.36e-05	0.25284355999999997	0.14415	0.3136549342363713
Molecular function	helicase activity	11	0.07516014903266138	2.9199999999999997e-07	0.2190676629090909	0.0292	0.3217626430826871
Molecular function	kinase activity	14	0.07706187453542612	0.000386	0.3020056428571429	0.0246	0.4422822496631384
Molecular function	ubiquitin-specific protease activity	9	0.08140399152520866	0.00227	0.09084777777777779	0.016	0.21972294862079678
Molecular function	base pairing	12	0.08447408785783969	0.000275	0.2478911666666667	0.011385	0.37676041082161515
Molecular function	nucleic acid binding	11	0.09848477945523713	5.27e-05	0.13682342727272725	0.00268	0.2920973209859845
Molecular function	DNA binding	12	0.11085964474616812	4.15e-05	0.314435125	0.07275	0.41268130927680974
Molecular function	sialic acid binding	4	0.1237918271973583	0.000252	0.051165749999999996	0.0052055	0.0825516552116764
Molecular function	RNA-directed DNA polymerase activity	7	0.12632794124637117	8.51e-07	0.14602726442857142	0.00562	0.2546669924221155
Molecular function	Ras GTPase binding	2	0.13387079608871263	4.8899999999999996e-05	0.01062445	0.01062445	0.010575550000000001
Molecular function	nucleoside-triphosphatase activity	8	0.14399897998348385	2.44e-05	0.22237992499999998	0.016900000000000002	0.3705616684298841
Molecular function	virion binding	5	0.1567758686310877	0.000185	0.014645	0.006509999999999999	0.01753975541448626
Molecular function	luciferin monooxygenase activity	12	0.1574171834069938	0.00387	0.16861749999999998	0.0632	0.2706812490773665
Molecular function	peptide binding	12	0.1599183622626153	0.0012	0.3662091666666667	0.12	0.41981784882371576
Symptom	Diarrhea	16	0.006515059400541567	9.13e-05	0.11156126875	0.017	0.23776684518438101
Symptom	Severe diarrhea	10	0.02257844121533019	0.000286	0.20467690000000002	0.0049250000000000006	0.3182466870125909
Symptom	Arthralgia	12	0.07282315530748681	0.0016	0.2080991666666667	0.06425	0.28773968502966746
Symptom	Pain	12	0.08026123340694767	0.000439	0.10965283333333332	0.007705	0.2723587256037012
Symptom	Watery diarrhea	12	0.08993401506644598	0.00266	0.42343500000000006	0.17395	0.44273778493407734
Symptom	Chest pain	14	0.11909298505794168	0.00436	0.22865999999999995	0.08295	0.3250013606125365
Symptom	Convulsions	16	0.1546040372593845	0.0388	0.3446625	0.2475	0.29797484347466313
Symptom	Body weight problem	12	0.1616856923763492	0.00371	0.10544749999999999	0.03145	0.16566832241585394
Symptom	Absence of sensation	9	0.1642755657441505	0.0009220000000000001	0.12661466666666665	0.0116	0.3091344160443983
Symptom	Vomit diarrhea	5	0.173644366085829	0.0036799999999999997	0.3006039999999999	0.00551	0.3968310490170848
Symptom	Infantile diarrhea	6	0.1796155652753135	0.00366	0.3759966666666667	0.12375	0.44914546974102815
Symptom	Seizures	13	0.20066342496055517	0.0116	0.30854615384615386	0.0462	0.4156924762284006
Symptom	Fatigue	9	0.20978659141472414	0.00212	0.14133	0.0272	0.3057717420269935
Symptom	Spots on skin	14	0.21031928209169437	0.00108	0.31548571428571426	0.08045000000000001	0.3959307615284392
Symptom	Stiffness	11	0.2216083147068997	0.00765	0.14108636363636362	0.0524	0.2753906036646437
Symptom	Lassitude	9	0.22254021170423746	0.0126	0.14032222222222224	0.0801	0.14181155553744773
Symptom	Tremor	16	0.2268628859073242	0.0198	0.22838124999999998	0.1615	0.23579718302693417
Symptom	Weakness	9	0.2272685343019898	0.0199	0.1459222222222222	0.102	0.17939448014410264
Symptom	Myalgia	11	0.22859917867047347	0.0212	0.39295454545454545	0.154	0.39726718822849594
Symptom	Asthenia	11	0.23861852001236486	0.0117	0.27842727272727275	0.16699999999999998	0.3003399500896188
Gene/Protein	SH2D3A	13	0.001061937982051797	4.02e-07	0.012827219384615385	0.00106	0.03296402364170514
Gene/Protein	RTN2	11	0.0021625566886198395	3.72e-08	0.051740474109090925	0.00131	0.10723222677882123
Gene/Protein	SPECC1	12	0.003166047233795931	4.3299999999999997e-07	0.18431666716666664	0.01742	0.36590254581127535
Gene/Protein	ERVW-1	13	0.00464481167671397	7.38e-05	0.047159676923076925	0.00391	0.14157198601828058
Gene/Protein	PRSS57	11	0.005119874127255878	4.8e-07	0.04670511645454544	0.0057	0.0593605344809563
Gene/Protein	HSPB3	14	0.006173411065305974	1.82e-05	0.044262699999999995	0.004045	0.07158855780343472
Gene/Protein	ASZ1	11	0.006257555650626534	8.72e-05	0.0354801090909091	0.00119	0.10029871796502735
Gene/Protein	BCAR3	11	0.006517344443530171	4.05e-07	0.10961501872727272	0.00285	0.18157789966954122
Gene/Protein	PSMD1	10	0.008725446534800573	2.28e-06	0.045715428	0.012060000000000001	0.10069011318742599
Gene/Protein	CDSN	10	0.012535320623317324	3.7299999999999997e-07	0.1025523873	0.0003345	0.29921128308756956
Gene/Protein	KIR2DL4	6	0.012979142240977185	1.4999999999999999e-05	0.0035310000000000007	0.0004835	0.005202094834455316
Gene/Protein	OCA2	10	0.013987630513220925	3.3299999999999996e-05	0.06636883000000002	0.00283	0.15924192688428543
Gene/Protein	IRF3	13	0.016260158256705376	0.000166	0.09159400000000001	0.00503	0.26302008338996
Gene/Protein	SH2D3C	15	0.0168489220245829	4.05e-07	0.09203839233333334	0.0013	0.16264162290791895
Gene/Protein	CTTNBP2	13	0.020175523890144452	0.000248	0.07934369230769231	0.00543	0.160260469305625
Gene/Protein	HFM1	15	0.021384088774149965	2.8600000000000004e-05	0.13355003999999995	0.009000000000000001	0.22948330644616047
Gene/Protein	ORF1	14	0.021456427382086193	0.00011999999999999999	0.12059414285714287	0.0038199999999999996	0.2608260364487239
Gene/Protein	AHI1	14	0.02176055099737821	0.000129	0.10985400000000001	0.004095	0.2297015361311282
Gene/Protein	UBE2B	11	0.022005055785086144	2.9600000000000005e-05	0.016216781818181817	0.0055	0.025989720980761823
Gene/Protein	PPP1CA	11	0.022263594038504902	9.91e-05	0.05996046363636365	0.0361	0.06041706285512807
Biological process	virion assembly	13	0.0021864265469129555	2.5e-05	0.0009394615384615383	0.000605	0.001304857338231308
Biological process	viral life cycle	14	0.00460014201988096	0.000124	0.003543642857142857	0.001153	0.004213004316690048
Biological process	gene expression	20	0.004783534492840457	3.11e-05	0.035466125	0.00452	0.0597688270281664
Biological process	RNA replication	14	0.004940984679231156	5.28e-05	0.09579546428571432	0.0020965	0.2572145770451273
Biological process	translation	19	0.004947204200234537	0.000151	0.09042484210526315	0.00614	0.23864024506186207
Biological process	RNA biosynthetic process	17	0.005000542517805456	8.609999999999999e-05	0.10508330588235294	0.0030399999999999997	0.24564169919300197
Biological process	tropism	16	0.00506245495103136	2.95e-05	0.14611748125	0.004035	0.32710748666263967
Biological process	reverse transcription	15	0.00681517038435438	1.01e-05	0.03684079333333334	0.00821	0.0941340324288757
Biological process	pathogenesis	20	0.007890561748427788	0.00014099999999999998	0.03058405	0.00894	0.04787873843730116
Biological process	proteolysis	17	0.008217698454994071	4.3e-05	0.0410865294117647	0.006809999999999999	0.08655010719680564
Biological process	antigenic variation	12	0.009833543731618632	8.48e-05	0.038676150000000006	0.0036499999999999996	0.10210481311303352
Biological process	phosphorylation	17	0.010613025666507438	1.91e-05	0.11409553529411764	0.00533	0.25515357118374793
Biological process	RNA interference	16	0.011288328650040839	6.1e-05	0.0238424375	0.005875	0.048030007011201796
Biological process	innate immune response	17	0.012000502944487955	9.44e-05	0.061774435294117636	0.0164	0.12316753160824077
Biological process	membrane fusion	12	0.012883153009476213	8.54e-06	0.16835130333333334	0.03345	0.3163364004283121
Biological process	mRNA transcription	13	0.012936947393473282	0.0019399999999999999	0.01274923076923077	0.00506	0.01362770112197294
Biological process	glycosylation	15	0.012947049584081625	2.11e-05	0.1298841666666667	0.0134	0.2572334495308044
Biological process	immune response	16	0.013007672351046943	9.83e-05	0.13406501875	0.00915	0.2966947767660273
Biological process	signal transduction	16	0.013236369690447673	1.01e-05	0.06887145624999999	0.006404999999999999	0.13096890309437947
Biological process	protein transport	17	0.014761142086663915	5.45e-06	0.08355314411764705	0.0116	0.23290655780814376
MeSH	Coronavirus	22	0.00012118190466799909	6.21e-07	0.062451592772727264	0.00026100000000000006	0.21051629297933025
MeSH	Viruses	24	0.00014339736385703448	4.66e-06	0.061301434999999994	0.0014305	0.2037792946357806
MeSH	Virus Replication	24	0.00023803583614594642	1.4099999999999999e-05	0.08944840833333333	0.001345	0.2749446362263955
MeSH	Molecular Sequence Data	24	0.0003102769538480073	6.58e-06	0.03069699916666667	0.000919	0.07346294396640743
MeSH	Amino Acid Sequence	24	0.0003643902933210888	5.27e-06	0.023373015416666667	0.0015775	0.04994343360761468
MeSH	Genome, Viral	19	0.0004424472289959591	2.45e-05	0.08986401578947366	0.000298	0.25008751090794357
MeSH	Genes	23	0.0004740190061767785	7.35e-06	0.14531329782608693	0.000517	0.3333993306840112
MeSH	Genome	24	0.0005285341994451034	3.5499999999999996e-05	0.011986158333333335	0.002975	0.022965785952711565
MeSH	Mutation	21	0.000615335229229511	3.44e-06	0.04043287333333333	0.000944	0.10133703716827878
MeSH	Cercopithecus aethiops	22	0.0006863762898089023	5.6399999999999995e-05	0.009046331818181817	0.001145	0.02546814244240665
MeSH	Open Reading Frames	24	0.0007333090375098535	6.73e-05	0.026688233333333335	0.001055	0.06786760516116204
