Selection	Association Name	Association Type	Significance
ORF7b protein, SARS coronavirus	Models, Animal	MeSH	0.0596
ORF7b protein, SARS coronavirus	Role	MeSH	0.0602
ORF7b protein, SARS coronavirus	Models, Molecular	MeSH	0.0723
ORF7b protein, SARS coronavirus	Escherichia coli	MeSH	0.08
ORF7b protein, SARS coronavirus	Cell Membrane	MeSH	0.0913
ORF7b protein, SARS coronavirus	Binding Sites	MeSH	0.1
ORF7b protein, SARS coronavirus	Genome	MeSH	0.102
ORF7b protein, SARS coronavirus	Blotting, Western	MeSH	0.103
ORF7b protein, SARS coronavirus	Models, Biological	MeSH	0.105
ORF7b protein, SARS coronavirus	Pathology	MeSH	0.108
ORF7b protein, SARS coronavirus	Morbidity	MeSH	0.117
ORF7b protein, SARS coronavirus	Base Sequence	MeSH	0.171
ORF7b protein, SARS coronavirus	Mice	MeSH	0.175
ORF7b protein, SARS coronavirus	Genes	MeSH	0.19
ORF7b protein, SARS coronavirus	Cells, Cultured	MeSH	0.191
ORF7b protein, SARS coronavirus	Kinetics	MeSH	0.229
ORF7b protein, SARS coronavirus	Identification (Psychology)	MeSH	0.232
ORF7b protein, SARS coronavirus	Mortality	MeSH	0.295
ORF7b protein, SARS coronavirus	Form	MeSH	0.423
ORF7b protein, SARS coronavirus	Sensitivity and Specificity	MeSH	0.613
ORF7b protein, SARS coronavirus	Humans	MeSH	1.0
ORF7b protein, SARS coronavirus	Female	MeSH	1.0
ORF7b protein, SARS coronavirus	Therapeutics	MeSH	1.0
ORF7b protein, SARS coronavirus	Patients	MeSH	1.0
ORF7b protein, SARS coronavirus	Tissues	MeSH	1.0
ORF7b protein, SARS coronavirus	Methods	MeSH	1.0
ORF7b protein, SARS coronavirus	Golgi apparatus	Cellular component	8.87E-4
ORF7b protein, SARS coronavirus	ribosome	Cellular component	0.00451
ORF7b protein, SARS coronavirus	endoplasmic reticulum	Cellular component	0.00512
ORF7b protein, SARS coronavirus	virion	Cellular component	0.0117
ORF7b protein, SARS coronavirus	membrane	Cellular component	0.0377
ORF7b protein, SARS coronavirus	cytoplasm	Cellular component	0.0459
ORF7b protein, SARS coronavirus	chromosome	Cellular component	0.0595
ORF7b protein, SARS coronavirus	cell	Cellular component	0.107
ORF7b protein, SARS coronavirus	Recombinant Interferon Beta	Drug	0.00316
ORF7b protein, SARS coronavirus	CYCLOPHOSPHAMIDE	Drug	0.0186
ORF7b protein, SARS coronavirus	L-Alanine	Drug	0.0223
